Título,Semilla,URL_adicionales,Estado,Tipo de recolección,Frecuencia ,Profundidad,Tamaño,Palabras_clave,Materia
"CEIP Guzmán el Bueno (Gaucín, Málaga)",http://ceip-guzmanelbueno.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP Huerta de la Princesa (Dos Hermanas, Sevilla)",http://ceiphdlp.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP Hernán Cortés (Castilleja de la Cuesta, Sevilla)",http://ceiphernancortes.es,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP Hurtado de Mendoza (Cogollos Vega, Granada)",http://ceiphurtadomendoza.blogspot.com/?m=0,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
CEIP Inés Relaño (Almería),http://ceipinesrelanoalmeria.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
"CEIP Isdabe del Mar (Cancelada, Málaga)",http://ceip-isdabe.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
CEIP Jacarandá (Sevilla),http://ceipjacarandasevillaeste.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Sevilla,37 Educación. Enseñanza. Didáctica
"CEIP Jaén (Linares, Jaén)",http://ceipjaen.es,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Jaén,37 Educación. Enseñanza. Didáctica
"CEIP Jardín Botánico (Mijas, Málaga)",http://ceipjardinbotanico.blogspot.com,,Activa,Selectiva,Semestral,Host,Mediano,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP Maestro Joaquín Herrera Álvarez (Nerja, Málaga)",http://ceipjoaquinherrera.es,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Málaga,37 Educación. Enseñanza. Didáctica
"CEIP Joaquín Tena Sicilia (Abla, Almería)",http://ceipjoaquintenasicilia.blogspot.com,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Almería,37 Educación. Enseñanza. Didáctica
